2026-05-12T20:57:09.9470653+00:00 | shell | pid=1400 | startup-begin
2026-05-12T20:57:10.0760246+00:00 | shell | pid=1400 | content-loaded path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\src\Wevito.VNext.Shell\bin\Debug\net8.0-windows10.0.19041.0\content species=10 environments=12
2026-05-12T20:57:10.2172243+00:00 | audit-scenario | pid=1400 | path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\artifacts\pet-task-probes\20260512-165708-961-18412e99\scenario.json pets=0 mode=Pinned env=rat
2026-05-12T20:57:10.2179279+00:00 | shell | pid=1400 | state-ready pinned=True pets=3 basket=0
2026-05-12T20:57:10.4243024+00:00 | overlay-style | pid=1400 | window=Wevito Home Panel clickThrough=False noActivate=False handle=3279100
2026-05-12T20:57:10.4616245+00:00 | overlay-style | pid=1400 | window=Wevito Roam Band clickThrough=True noActivate=True handle=23856686
2026-05-12T20:57:10.5042722+00:00 | overlay-style | pid=1400 | window=Wevito Basket clickThrough=False noActivate=False handle=49153716
2026-05-12T20:57:10.5186466+00:00 | shell | pid=1400 | broker-started pid=21384 pipe=wevito-vnext-1400
2026-05-12T20:57:10.6550221+00:00 | shell | pid=1400 | broker-connected
2026-05-12T20:57:10.7211267+00:00 | broker-event | pid=1400 | DesktopContextChanged
2026-05-12T20:57:10.7363034+00:00 | desktop-context | pid=1400 | foreground=LeagueClientUx title=League of Legends shell=False fullscreen=False
2026-05-12T20:57:10.7541864+00:00 | mode | pid=1400 | mode=Pinned pinned=True
2026-05-12T20:57:10.7564198+00:00 | layout | pid=1400 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:57:10.7578963+00:00 | overlay-style | pid=1400 | window=Wevito Home Panel clickThrough=False noActivate=True handle=3279100
2026-05-12T20:57:10.7584045+00:00 | overlay-style | pid=1400 | window=Wevito Basket clickThrough=True noActivate=True handle=49153716
2026-05-12T20:57:10.7597914+00:00 | visibility | pid=1400 | window=ToolPopup visibility=Hidden
2026-05-12T20:57:10.8485072+00:00 | stage-props | pid=1400 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:10.8806255+00:00 | broker-event | pid=1400 | ForegroundChanged
2026-05-12T20:57:10.8809382+00:00 | broker-event | pid=1400 | WorkAreaChanged
2026-05-12T20:57:10.8857218+00:00 | overlay-regions | pid=1400 | HomePanel:1232,110,660,910:True|RoamBand:0,922,1920,118:False|ToolPopup:1372,10,520,420:False
2026-05-12T20:57:10.9052593+00:00 | layout | pid=1400 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
