2026-05-12T20:58:46.0803627+00:00 | shell | pid=14824 | startup-begin
2026-05-12T20:58:46.1783314+00:00 | shell | pid=14824 | content-loaded path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\src\Wevito.VNext.Shell\bin\Debug\net8.0-windows10.0.19041.0\content species=10 environments=12
2026-05-12T20:58:46.3065445+00:00 | audit-scenario | pid=14824 | path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\artifacts\pet-task-probes\20260512-165845-294-d7630989\scenario.json pets=0 mode=Pinned env=rat
2026-05-12T20:58:46.3071768+00:00 | shell | pid=14824 | state-ready pinned=True pets=3 basket=0
2026-05-12T20:58:46.4936284+00:00 | overlay-style | pid=14824 | window=Wevito Home Panel clickThrough=False noActivate=False handle=115738752
2026-05-12T20:58:46.5319260+00:00 | overlay-style | pid=14824 | window=Wevito Roam Band clickThrough=True noActivate=True handle=2885226
2026-05-12T20:58:46.5755535+00:00 | overlay-style | pid=14824 | window=Wevito Basket clickThrough=False noActivate=False handle=4917048
2026-05-12T20:58:46.5872143+00:00 | shell | pid=14824 | broker-started pid=6188 pipe=wevito-vnext-14824
2026-05-12T20:58:46.7308257+00:00 | shell | pid=14824 | broker-connected
2026-05-12T20:58:46.7930373+00:00 | broker-event | pid=14824 | DesktopContextChanged
2026-05-12T20:58:46.8077983+00:00 | desktop-context | pid=14824 | foreground=LeagueClientUx title=League of Legends shell=False fullscreen=False
2026-05-12T20:58:46.8250071+00:00 | mode | pid=14824 | mode=Pinned pinned=True
2026-05-12T20:58:46.8267012+00:00 | layout | pid=14824 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:58:46.8279192+00:00 | overlay-style | pid=14824 | window=Wevito Home Panel clickThrough=False noActivate=True handle=115738752
2026-05-12T20:58:46.8288283+00:00 | overlay-style | pid=14824 | window=Wevito Basket clickThrough=True noActivate=True handle=4917048
2026-05-12T20:58:46.8306866+00:00 | visibility | pid=14824 | window=ToolPopup visibility=Hidden
2026-05-12T20:58:46.8803620+00:00 | shared-asset | pid=14824 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:58:46.9113124+00:00 | stage-props | pid=14824 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:58:46.9401756+00:00 | broker-event | pid=14824 | ForegroundChanged
2026-05-12T20:58:46.9404708+00:00 | broker-event | pid=14824 | WorkAreaChanged
2026-05-12T20:58:46.9450605+00:00 | overlay-regions | pid=14824 | HomePanel:1232,110,660,910:True|RoamBand:0,922,1920,118:False|ToolPopup:1372,10,520,420:False
2026-05-12T20:58:46.9637451+00:00 | layout | pid=14824 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
