2026-05-12T20:58:13.4891297+00:00 | shell | pid=12900 | startup-begin
2026-05-12T20:58:13.5885322+00:00 | shell | pid=12900 | content-loaded path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\src\Wevito.VNext.Shell\bin\Debug\net8.0-windows10.0.19041.0\content species=10 environments=12
2026-05-12T20:58:13.7253217+00:00 | audit-scenario | pid=12900 | path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\artifacts\pet-task-probes\20260512-165812-673-15487d30\scenario.json pets=0 mode=Pinned env=rat
2026-05-12T20:58:13.7259832+00:00 | shell | pid=12900 | state-ready pinned=True pets=3 basket=0
2026-05-12T20:58:13.9089625+00:00 | overlay-style | pid=12900 | window=Wevito Home Panel clickThrough=False noActivate=False handle=3148034
2026-05-12T20:58:13.9440039+00:00 | overlay-style | pid=12900 | window=Wevito Roam Band clickThrough=True noActivate=True handle=65144540
2026-05-12T20:58:13.9922446+00:00 | overlay-style | pid=12900 | window=Wevito Basket clickThrough=False noActivate=False handle=3081870
2026-05-12T20:58:14.0028107+00:00 | shell | pid=12900 | broker-started pid=22192 pipe=wevito-vnext-12900
2026-05-12T20:58:14.1507185+00:00 | shell | pid=12900 | broker-connected
2026-05-12T20:58:14.2153315+00:00 | broker-event | pid=12900 | DesktopContextChanged
2026-05-12T20:58:14.2312708+00:00 | desktop-context | pid=12900 | foreground=LeagueClientUx title=League of Legends shell=False fullscreen=False
2026-05-12T20:58:14.2492489+00:00 | mode | pid=12900 | mode=Pinned pinned=True
2026-05-12T20:58:14.2510512+00:00 | layout | pid=12900 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:58:14.2528086+00:00 | overlay-style | pid=12900 | window=Wevito Home Panel clickThrough=False noActivate=True handle=3148034
2026-05-12T20:58:14.2535553+00:00 | overlay-style | pid=12900 | window=Wevito Basket clickThrough=True noActivate=True handle=3081870
2026-05-12T20:58:14.2551804+00:00 | visibility | pid=12900 | window=ToolPopup visibility=Hidden
2026-05-12T20:58:14.3320911+00:00 | stage-props | pid=12900 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:58:14.3616944+00:00 | broker-event | pid=12900 | ForegroundChanged
2026-05-12T20:58:14.3625203+00:00 | broker-event | pid=12900 | WorkAreaChanged
2026-05-12T20:58:14.3673985+00:00 | overlay-regions | pid=12900 | HomePanel:1232,110,660,910:True|RoamBand:0,922,1920,118:False|ToolPopup:1372,10,520,420:False
2026-05-12T20:58:14.3885782+00:00 | layout | pid=12900 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:58:14.3924891+00:00 | stage-props | pid=12900 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:58:14.3988523+00:00 | shell | pid=12900 | startup-complete
2026-05-12T20:58:14.4565933+00:00 | stage-props | pid=12900 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:58:14.5087285+00:00 | stage-props | pid=12900 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:58:14.5688779+00:00 | stage-props | pid=12900 | rat:toys_b/crate_hideout,utility/storage_basket
