2026-05-12T20:57:57.5745073+00:00 | shell | pid=2544 | startup-begin
2026-05-12T20:57:57.6720105+00:00 | shell | pid=2544 | content-loaded path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\src\Wevito.VNext.Shell\bin\Debug\net8.0-windows10.0.19041.0\content species=10 environments=12
2026-05-12T20:57:57.8074856+00:00 | audit-scenario | pid=2544 | path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\artifacts\pet-task-probes\20260512-165756-770-ce3e0cf6\scenario.json pets=0 mode=Pinned env=rat
2026-05-12T20:57:57.8082337+00:00 | shell | pid=2544 | state-ready pinned=True pets=3 basket=0
2026-05-12T20:57:57.9944258+00:00 | overlay-style | pid=2544 | window=Wevito Home Panel clickThrough=False noActivate=False handle=3344390
2026-05-12T20:57:58.0325173+00:00 | overlay-style | pid=2544 | window=Wevito Roam Band clickThrough=True noActivate=True handle=65079004
2026-05-12T20:57:58.0756642+00:00 | overlay-style | pid=2544 | window=Wevito Basket clickThrough=False noActivate=False handle=3016334
2026-05-12T20:57:58.0863285+00:00 | shell | pid=2544 | broker-started pid=3452 pipe=wevito-vnext-2544
2026-05-12T20:57:58.2191442+00:00 | shell | pid=2544 | broker-connected
2026-05-12T20:57:58.2925436+00:00 | broker-event | pid=2544 | DesktopContextChanged
2026-05-12T20:57:58.3084291+00:00 | desktop-context | pid=2544 | foreground=LeagueClientUx title=League of Legends shell=False fullscreen=False
2026-05-12T20:57:58.3267029+00:00 | mode | pid=2544 | mode=Pinned pinned=True
2026-05-12T20:57:58.3283510+00:00 | layout | pid=2544 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:57:58.3296549+00:00 | overlay-style | pid=2544 | window=Wevito Home Panel clickThrough=False noActivate=True handle=3344390
2026-05-12T20:57:58.3301715+00:00 | overlay-style | pid=2544 | window=Wevito Basket clickThrough=True noActivate=True handle=3016334
2026-05-12T20:57:58.3315007+00:00 | visibility | pid=2544 | window=ToolPopup visibility=Hidden
2026-05-12T20:57:58.3806374+00:00 | shared-asset | pid=2544 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:57:58.4139894+00:00 | stage-props | pid=2544 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:58.4429561+00:00 | broker-event | pid=2544 | ForegroundChanged
2026-05-12T20:57:58.4432629+00:00 | broker-event | pid=2544 | WorkAreaChanged
2026-05-12T20:57:58.4484359+00:00 | overlay-regions | pid=2544 | HomePanel:1232,110,660,910:True|RoamBand:0,922,1920,118:False|ToolPopup:1372,10,520,420:False
2026-05-12T20:57:58.4695097+00:00 | layout | pid=2544 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:57:58.4711737+00:00 | shared-asset | pid=2544 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:57:58.4731923+00:00 | stage-props | pid=2544 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:58.4786690+00:00 | shell | pid=2544 | startup-complete
2026-05-12T20:57:58.5362991+00:00 | shared-asset | pid=2544 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:57:58.5376520+00:00 | stage-props | pid=2544 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:58.6045151+00:00 | shared-asset | pid=2544 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:57:58.6059977+00:00 | stage-props | pid=2544 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:58.6647404+00:00 | shared-asset | pid=2544 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:57:58.6660817+00:00 | stage-props | pid=2544 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:58.7260318+00:00 | shared-asset | pid=2544 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:57:58.7273589+00:00 | stage-props | pid=2544 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:58.7874319+00:00 | shared-asset | pid=2544 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:57:58.7887308+00:00 | stage-props | pid=2544 | rat:toys_b/crate_hideout,utility/storage_basket
