2026-05-12T20:57:41.4593795+00:00 | shell | pid=22180 | startup-begin
2026-05-12T20:57:41.5529141+00:00 | shell | pid=22180 | content-loaded path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\src\Wevito.VNext.Shell\bin\Debug\net8.0-windows10.0.19041.0\content species=10 environments=12
2026-05-12T20:57:41.6845551+00:00 | audit-scenario | pid=22180 | path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\artifacts\pet-task-probes\20260512-165740-695-17557e52\scenario.json pets=0 mode=Pinned env=rat
2026-05-12T20:57:41.6851295+00:00 | shell | pid=22180 | state-ready pinned=True pets=3 basket=0
2026-05-12T20:57:41.8641544+00:00 | overlay-style | pid=22180 | window=Wevito Home Panel clickThrough=False noActivate=False handle=3803332
2026-05-12T20:57:41.8997410+00:00 | overlay-style | pid=22180 | window=Wevito Roam Band clickThrough=True noActivate=True handle=2622632
2026-05-12T20:57:41.9406847+00:00 | overlay-style | pid=22180 | window=Wevito Basket clickThrough=False noActivate=False handle=204474140
2026-05-12T20:57:41.9552699+00:00 | shell | pid=22180 | broker-started pid=15016 pipe=wevito-vnext-22180
2026-05-12T20:57:42.0921963+00:00 | shell | pid=22180 | broker-connected
2026-05-12T20:57:42.1578446+00:00 | broker-event | pid=22180 | DesktopContextChanged
2026-05-12T20:57:42.1729210+00:00 | desktop-context | pid=22180 | foreground=LeagueClientUx title=League of Legends shell=False fullscreen=False
2026-05-12T20:57:42.1903965+00:00 | mode | pid=22180 | mode=Pinned pinned=True
2026-05-12T20:57:42.1919696+00:00 | layout | pid=22180 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:57:42.1931307+00:00 | overlay-style | pid=22180 | window=Wevito Home Panel clickThrough=False noActivate=True handle=3803332
2026-05-12T20:57:42.1936924+00:00 | overlay-style | pid=22180 | window=Wevito Basket clickThrough=True noActivate=True handle=204474140
2026-05-12T20:57:42.1951730+00:00 | visibility | pid=22180 | window=ToolPopup visibility=Hidden
2026-05-12T20:57:42.2677605+00:00 | stage-props | pid=22180 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:42.2957071+00:00 | broker-event | pid=22180 | ForegroundChanged
2026-05-12T20:57:42.2960059+00:00 | broker-event | pid=22180 | WorkAreaChanged
2026-05-12T20:57:42.3014883+00:00 | overlay-regions | pid=22180 | HomePanel:1232,110,660,910:True|RoamBand:0,922,1920,118:False|ToolPopup:1372,10,520,420:False
2026-05-12T20:57:42.3194609+00:00 | layout | pid=22180 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:57:42.3225605+00:00 | stage-props | pid=22180 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:42.3290616+00:00 | shell | pid=22180 | startup-complete
2026-05-12T20:57:42.3953365+00:00 | stage-props | pid=22180 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:42.4613500+00:00 | stage-props | pid=22180 | rat:toys_b/crate_hideout,utility/storage_basket
