2026-05-12T20:56:37.9039208+00:00 | shell | pid=23172 | startup-begin
2026-05-12T20:56:37.9990425+00:00 | shell | pid=23172 | content-loaded path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\src\Wevito.VNext.Shell\bin\Debug\net8.0-windows10.0.19041.0\content species=10 environments=12
2026-05-12T20:56:38.1514039+00:00 | audit-scenario | pid=23172 | path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\artifacts\pet-task-probes\20260512-165637-125-3b7eb0e4\scenario.json pets=0 mode=Pinned env=rat
2026-05-12T20:56:38.1520359+00:00 | shell | pid=23172 | state-ready pinned=True pets=3 basket=0
2026-05-12T20:56:38.3359856+00:00 | overlay-style | pid=23172 | window=Wevito Home Panel clickThrough=False noActivate=False handle=2623118
2026-05-12T20:56:38.3701688+00:00 | overlay-style | pid=23172 | window=Wevito Roam Band clickThrough=True noActivate=True handle=1313138
2026-05-12T20:56:38.4141183+00:00 | overlay-style | pid=23172 | window=Wevito Basket clickThrough=False noActivate=False handle=3541188
2026-05-12T20:56:38.4239624+00:00 | shell | pid=23172 | broker-started pid=20820 pipe=wevito-vnext-23172
2026-05-12T20:56:38.5839593+00:00 | shell | pid=23172 | broker-connected
2026-05-12T20:56:38.6481662+00:00 | broker-event | pid=23172 | DesktopContextChanged
2026-05-12T20:56:38.6625684+00:00 | desktop-context | pid=23172 | foreground=Wevito.VNext.Shell title=Wevito Basket shell=False fullscreen=False
2026-05-12T20:56:38.6799956+00:00 | mode | pid=23172 | mode=Pinned pinned=True
2026-05-12T20:56:38.6814991+00:00 | layout | pid=23172 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:56:38.6827134+00:00 | overlay-style | pid=23172 | window=Wevito Home Panel clickThrough=False noActivate=True handle=2623118
2026-05-12T20:56:38.6831775+00:00 | overlay-style | pid=23172 | window=Wevito Basket clickThrough=True noActivate=True handle=3541188
2026-05-12T20:56:38.6849521+00:00 | visibility | pid=23172 | window=ToolPopup visibility=Hidden
2026-05-12T20:56:38.7356922+00:00 | shared-asset | pid=23172 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:56:38.7687328+00:00 | stage-props | pid=23172 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:38.7975418+00:00 | broker-event | pid=23172 | ForegroundChanged
2026-05-12T20:56:38.7978374+00:00 | broker-event | pid=23172 | WorkAreaChanged
2026-05-12T20:56:38.8003628+00:00 | overlay-regions | pid=23172 | HomePanel:1232,110,660,910:True|RoamBand:0,922,1920,118:False|ToolPopup:1372,10,520,420:False
2026-05-12T20:56:38.8234581+00:00 | broker-event | pid=23172 | DesktopContextChanged
2026-05-12T20:56:38.8240352+00:00 | desktop-context | pid=23172 | foreground=Wevito.VNext.Shell title=Wevito Home Panel shell=False fullscreen=False
2026-05-12T20:56:38.8244058+00:00 | layout | pid=23172 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
