2026-05-12T20:57:25.6967513+00:00 | shell | pid=11940 | startup-begin
2026-05-12T20:57:25.7931605+00:00 | shell | pid=11940 | content-loaded path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\src\Wevito.VNext.Shell\bin\Debug\net8.0-windows10.0.19041.0\content species=10 environments=12
2026-05-12T20:57:25.9287454+00:00 | audit-scenario | pid=11940 | path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\artifacts\pet-task-probes\20260512-165724-923-2613f6b2\scenario.json pets=0 mode=Pinned env=rat
2026-05-12T20:57:25.9294337+00:00 | shell | pid=11940 | state-ready pinned=True pets=3 basket=0
2026-05-12T20:57:26.1159303+00:00 | overlay-style | pid=11940 | window=Wevito Home Panel clickThrough=False noActivate=False handle=115411072
2026-05-12T20:57:26.1524902+00:00 | overlay-style | pid=11940 | window=Wevito Roam Band clickThrough=True noActivate=True handle=2885262
2026-05-12T20:57:26.1950876+00:00 | overlay-style | pid=11940 | window=Wevito Basket clickThrough=False noActivate=False handle=2557096
2026-05-12T20:57:26.2043287+00:00 | shell | pid=11940 | broker-started pid=23316 pipe=wevito-vnext-11940
2026-05-12T20:57:26.3427797+00:00 | shell | pid=11940 | broker-connected
2026-05-12T20:57:26.4112477+00:00 | broker-event | pid=11940 | DesktopContextChanged
2026-05-12T20:57:26.4269353+00:00 | desktop-context | pid=11940 | foreground=LeagueClientUx title=League of Legends shell=False fullscreen=False
2026-05-12T20:57:26.4429804+00:00 | mode | pid=11940 | mode=Pinned pinned=True
2026-05-12T20:57:26.4446518+00:00 | layout | pid=11940 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:57:26.4459994+00:00 | overlay-style | pid=11940 | window=Wevito Home Panel clickThrough=False noActivate=True handle=115411072
2026-05-12T20:57:26.4464887+00:00 | overlay-style | pid=11940 | window=Wevito Basket clickThrough=True noActivate=True handle=2557096
2026-05-12T20:57:26.4478104+00:00 | visibility | pid=11940 | window=ToolPopup visibility=Hidden
2026-05-12T20:57:26.5369936+00:00 | stage-props | pid=11940 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:57:26.5654737+00:00 | broker-event | pid=11940 | ForegroundChanged
2026-05-12T20:57:26.5658368+00:00 | broker-event | pid=11940 | WorkAreaChanged
2026-05-12T20:57:26.5707086+00:00 | overlay-regions | pid=11940 | HomePanel:1232,110,660,910:True|RoamBand:0,922,1920,118:False|ToolPopup:1372,10,520,420:False
