2026-05-12T20:59:01.9925261+00:00 | shell | pid=22504 | startup-begin
2026-05-12T20:59:02.0978210+00:00 | shell | pid=22504 | content-loaded path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\src\Wevito.VNext.Shell\bin\Debug\net8.0-windows10.0.19041.0\content species=10 environments=12
2026-05-12T20:59:02.2392576+00:00 | audit-scenario | pid=22504 | path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\artifacts\pet-task-probes\20260512-165901-095-4e688747\scenario.json pets=0 mode=Pinned env=rat
2026-05-12T20:59:02.2398968+00:00 | shell | pid=22504 | state-ready pinned=True pets=3 basket=0
2026-05-12T20:59:02.4343582+00:00 | overlay-style | pid=22504 | window=Wevito Home Panel clickThrough=False noActivate=False handle=1509682
2026-05-12T20:59:02.4721063+00:00 | overlay-style | pid=22504 | window=Wevito Roam Band clickThrough=True noActivate=True handle=3278478
2026-05-12T20:59:02.5139106+00:00 | overlay-style | pid=22504 | window=Wevito Basket clickThrough=False noActivate=False handle=49612468
2026-05-12T20:59:02.5239569+00:00 | shell | pid=22504 | broker-started pid=21524 pipe=wevito-vnext-22504
2026-05-12T20:59:02.6688459+00:00 | shell | pid=22504 | broker-connected
2026-05-12T20:59:02.7320762+00:00 | broker-event | pid=22504 | DesktopContextChanged
2026-05-12T20:59:02.7466121+00:00 | desktop-context | pid=22504 | foreground=Wevito.VNext.Shell title=Wevito Basket shell=False fullscreen=False
2026-05-12T20:59:02.7638991+00:00 | mode | pid=22504 | mode=Pinned pinned=True
2026-05-12T20:59:02.7654956+00:00 | layout | pid=22504 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:59:02.7669918+00:00 | overlay-style | pid=22504 | window=Wevito Home Panel clickThrough=False noActivate=True handle=1509682
2026-05-12T20:59:02.7676950+00:00 | overlay-style | pid=22504 | window=Wevito Basket clickThrough=True noActivate=True handle=49612468
2026-05-12T20:59:02.7692527+00:00 | visibility | pid=22504 | window=ToolPopup visibility=Hidden
2026-05-12T20:59:02.8184467+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:02.8609329+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:02.8884241+00:00 | broker-event | pid=22504 | ForegroundChanged
2026-05-12T20:59:02.8887079+00:00 | broker-event | pid=22504 | WorkAreaChanged
2026-05-12T20:59:02.8913952+00:00 | broker-event | pid=22504 | DesktopContextChanged
2026-05-12T20:59:02.8920434+00:00 | desktop-context | pid=22504 | foreground=Wevito.VNext.Shell title=Wevito Home Panel shell=False fullscreen=False
2026-05-12T20:59:02.8924648+00:00 | layout | pid=22504 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:59:02.8940927+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:02.8954634+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:02.9018722+00:00 | broker-event | pid=22504 | ForegroundChanged
2026-05-12T20:59:02.9023287+00:00 | overlay-regions | pid=22504 | HomePanel:1232,110,660,910:True|RoamBand:0,922,1920,118:False|ToolPopup:1372,10,520,420:False
2026-05-12T20:59:02.9148126+00:00 | overlay-regions | pid=22504 | HomePanel:1232,110,660,910:True|RoamBand:0,922,1920,118:False|ToolPopup:1372,10,520,420:False
2026-05-12T20:59:02.9153682+00:00 | layout | pid=22504 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:59:02.9167767+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:02.9188420+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:02.9236618+00:00 | shell | pid=22504 | startup-complete
2026-05-12T20:59:02.9836221+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:02.9850061+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:03.0369714+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:03.0386246+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:03.0996577+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:03.1011449+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:03.1616358+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:03.1630100+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:03.2288853+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:03.2311674+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:03.2862960+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:03.2881696+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:03.3480945+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:03.3499535+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:03.4098524+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:03.4115612+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:03.4726887+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:03.4742338+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:03.5346338+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:59:03.5363266+00:00 | stage-props | pid=22504 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:59:03.5814375+00:00 | shared-asset | pid=22504 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
