2026-05-12T20:56:53.9748412+00:00 | shell | pid=23528 | startup-begin
2026-05-12T20:56:54.1286299+00:00 | shell | pid=23528 | content-loaded path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\src\Wevito.VNext.Shell\bin\Debug\net8.0-windows10.0.19041.0\content species=10 environments=12
2026-05-12T20:56:54.3239133+00:00 | audit-scenario | pid=23528 | path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\artifacts\pet-task-probes\20260512-165653-112-51170f54\scenario.json pets=0 mode=Pinned env=rat
2026-05-12T20:56:54.3247655+00:00 | shell | pid=23528 | state-ready pinned=True pets=3 basket=0
2026-05-12T20:56:54.5513679+00:00 | overlay-style | pid=23528 | window=Wevito Home Panel clickThrough=False noActivate=False handle=3082246
2026-05-12T20:56:54.5904802+00:00 | overlay-style | pid=23528 | window=Wevito Roam Band clickThrough=True noActivate=True handle=49088180
2026-05-12T20:56:54.6350624+00:00 | overlay-style | pid=23528 | window=Wevito Basket clickThrough=False noActivate=False handle=28968768
2026-05-12T20:56:54.6464820+00:00 | shell | pid=23528 | broker-started pid=13348 pipe=wevito-vnext-23528
2026-05-12T20:56:54.7968273+00:00 | shell | pid=23528 | broker-connected
2026-05-12T20:56:54.8672561+00:00 | broker-event | pid=23528 | DesktopContextChanged
2026-05-12T20:56:54.8836536+00:00 | desktop-context | pid=23528 | foreground=LeagueClientUx title=League of Legends shell=False fullscreen=False
2026-05-12T20:56:54.9040500+00:00 | mode | pid=23528 | mode=Pinned pinned=True
2026-05-12T20:56:54.9056949+00:00 | layout | pid=23528 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:56:54.9072844+00:00 | overlay-style | pid=23528 | window=Wevito Home Panel clickThrough=False noActivate=True handle=3082246
2026-05-12T20:56:54.9081248+00:00 | overlay-style | pid=23528 | window=Wevito Basket clickThrough=True noActivate=True handle=28968768
2026-05-12T20:56:54.9098093+00:00 | visibility | pid=23528 | window=ToolPopup visibility=Hidden
2026-05-12T20:56:55.0023514+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.0349515+00:00 | broker-event | pid=23528 | ForegroundChanged
2026-05-12T20:56:55.0352758+00:00 | broker-event | pid=23528 | WorkAreaChanged
2026-05-12T20:56:55.0407897+00:00 | overlay-regions | pid=23528 | HomePanel:1232,110,660,910:True|RoamBand:0,922,1920,118:False|ToolPopup:1372,10,520,420:False
2026-05-12T20:56:55.0610975+00:00 | layout | pid=23528 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:56:55.0653069+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.0745909+00:00 | shell | pid=23528 | startup-complete
2026-05-12T20:56:55.1349502+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.1861758+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.2475564+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.3094787+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.3715429+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.4338495+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.4967380+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.5587900+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.6204233+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.6824467+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.7448201+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.8074891+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.8696026+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.9316991+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:55.9937144+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:56.0559614+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:56.1177757+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:56.1804728+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:56.2426242+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:56.3032369+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,utility/storage_basket
2026-05-12T20:56:56.3651829+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,food_omnivore/snack_bowl,utility/storage_basket
2026-05-12T20:56:56.4271149+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,food_omnivore/snack_bowl,utility/storage_basket
2026-05-12T20:56:56.4729650+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,food_omnivore/snack_bowl,utility/storage_basket
2026-05-12T20:56:56.5191884+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,food_omnivore/snack_bowl,utility/storage_basket
2026-05-12T20:56:56.5651151+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,food_omnivore/snack_bowl,utility/storage_basket
2026-05-12T20:56:56.6118427+00:00 | stage-props | pid=23528 | rat:toys_b/crate_hideout,food_omnivore/snack_bowl,utility/storage_basket
