2026-05-12T20:58:30.2784336+00:00 | shell | pid=10332 | startup-begin
2026-05-12T20:58:30.3761025+00:00 | shell | pid=10332 | content-loaded path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\src\Wevito.VNext.Shell\bin\Debug\net8.0-windows10.0.19041.0\content species=10 environments=12
2026-05-12T20:58:30.5095756+00:00 | audit-scenario | pid=10332 | path=C:\Users\fishe\.codex\worktrees\ab46\wevito\vnext\artifacts\pet-task-probes\20260512-165829-488-b7bd84a0\scenario.json pets=0 mode=Pinned env=rat
2026-05-12T20:58:30.5102183+00:00 | shell | pid=10332 | state-ready pinned=True pets=3 basket=0
2026-05-12T20:58:30.6845221+00:00 | overlay-style | pid=10332 | window=Wevito Home Panel clickThrough=False noActivate=False handle=4523270
2026-05-12T20:58:30.7158892+00:00 | overlay-style | pid=10332 | window=Wevito Roam Band clickThrough=True noActivate=True handle=24184366
2026-05-12T20:58:30.7586307+00:00 | overlay-style | pid=10332 | window=Wevito Basket clickThrough=False noActivate=False handle=21628566
2026-05-12T20:58:30.7684277+00:00 | shell | pid=10332 | broker-started pid=22276 pipe=wevito-vnext-10332
2026-05-12T20:58:30.9149783+00:00 | shell | pid=10332 | broker-connected
2026-05-12T20:58:30.9919784+00:00 | broker-event | pid=10332 | DesktopContextChanged
2026-05-12T20:58:31.0071534+00:00 | desktop-context | pid=10332 | foreground=LeagueClientUx title=League of Legends shell=False fullscreen=False
2026-05-12T20:58:31.0256791+00:00 | mode | pid=10332 | mode=Pinned pinned=True
2026-05-12T20:58:31.0272851+00:00 | layout | pid=10332 | home=1232,110 660x910 tool=1372,10 520x420 roam=0,922 1920x118
2026-05-12T20:58:31.0285526+00:00 | overlay-style | pid=10332 | window=Wevito Home Panel clickThrough=False noActivate=True handle=4523270
2026-05-12T20:58:31.0290400+00:00 | overlay-style | pid=10332 | window=Wevito Basket clickThrough=True noActivate=True handle=21628566
2026-05-12T20:58:31.0307800+00:00 | visibility | pid=10332 | window=ToolPopup visibility=Hidden
2026-05-12T20:58:31.0797553+00:00 | shared-asset | pid=10332 | cleaned items\containers\water_bowl.png => C:\Users\fishe\.codex\worktrees\ab46\wevito\sprites_shared_runtime\items\containers\water_bowl.png
2026-05-12T20:58:31.1078389+00:00 | stage-props | pid=10332 | rat:toys_b/crate_hideout,utility/storage_basket
